GeneSymbol,miRNA,mirDIPscore,r_values, p_values,false_discovery_rate
ZBTB18,hsa-miR-130b-3p,0.972258790021587,-0.191615736317545,1.3178945572479e-05,0.000178682593982808
VLDLR,hsa-miR-106b-5p,0.962959335116126,-0.20706516658601,2.4061971231424e-06,4.14759319730888e-05
SMAD7,hsa-miR-21-5p,0.961759489846776,-0.25706537790683,3.85301644793856e-09,1.32808851387956e-07
SEMA6D,hsa-miR-16-5p,0.960952499307881,-0.138755393792533,0.00168339798280681,0.0102975997354023
FAM76A,hsa-miR-34a-5p,0.960194424471726,-0.186037579353913,2.35802968068531e-05,0.000293353234014878
RUNX1T1,hsa-miR-16-5p,0.95968272652054,-0.126167035298251,0.00432170184693933,0.0220250539331325
EPHA4,hsa-miR-106b-5p,0.95956152609671,-0.116370193907465,0.00852586187275824,0.037769665716977
ZEB2,hsa-miR-200a-3p,0.959255042135533,-0.162071175993899,0.000237450280060283,0.0020554510029164
DYNC1LI2,hsa-miR-106b-5p,0.958704741351886,-0.211924824758705,1.37115958402119e-06,2.53107453119622e-05
RMND5A,hsa-miR-138-5p,0.958124127870398,-0.184375123260904,2.79532745165321e-05,0.000338816751380691
TRIP11,hsa-miR-106b-5p,0.957246188985019,-0.225886076922925,2.52968344906269e-07,5.68397880570109e-06
PFN2,hsa-miR-106b-5p,0.957177531930993,-0.158455000814039,0.000327699820129064,0.00268157911165623
NEDD4,hsa-miR-30b-5p,0.957149357038205,-0.196128720390662,8.12939634266326e-06,0.000118154113304063
DLL1,hsa-miR-16-5p,0.956912365571275,-0.11644335248739,0.0084841885171386,0.0376154019743313
DUSP1,hsa-miR-200c-3p,0.956893766383318,-0.160572510095085,0.000271589349814276,0.00229597652797467
CTDSPL,hsa-miR-16-5p,0.95636293754516,-0.151751298294342,0.000584834657837831,0.00432076432864398
RAB22A,hsa-miR-204-5p,0.955856522329898,-0.230431223984815,1.42436141355734e-07,3.40053006363498e-06
WDR20,hsa-miR-130b-3p,0.955608592636468,-0.177729597334206,5.43639374925605e-05,0.000597130811553997
ARID4A,hsa-miR-106b-5p,0.953694478017208,-0.174507071622602,7.44202163733145e-05,0.000780028809989533
PDCD4,hsa-miR-21-5p,0.953635468054586,-0.258550343102415,3.11139152170384e-09,1.09253114749522e-07
TXNIP,hsa-miR-106b-5p,0.951833106861068,-0.144786654117601,0.00104170608207977,0.00697749430258255
RBM47,hsa-miR-25-3p,0.951456699606875,-0.142704672861968,0.00123198170895773,0.0079898555101831
RBL2,hsa-miR-106b-5p,0.950814251812368,-0.244882732570884,2.11672198811354e-08,6.17526684457209e-07
FBXL5,hsa-miR-106b-5p,0.950769260302249,-0.121225427810592,0.00612425138603536,0.0290408221773399
TNKS2,hsa-miR-106b-5p,0.950606206192473,-0.131882936539498,0.00284439730876364,0.0157359903851385
NEDD4L,hsa-miR-106b-5p,0.950500464924041,-0.21704776756842,7.47046981553519e-07,1.48019225125074e-05
DESI2,hsa-miR-30b-5p,0.949410953804185,-0.188948807495634,1.74421351717488e-05,0.00022741651870589
MAML1,hsa-miR-30b-5p,0.948703789955394,-0.15665095705325,0.000383854512370708,0.00305673474768794
CTDSPL,hsa-miR-181b-5p,0.947896456666982,-0.156899149560481,0.00037562979660875,0.00299936037623797
JAG1,hsa-miR-21-5p,0.94785495043206,-0.339897072790677,2.9421287053724e-15,2.58607884863662e-13
SIN3A,hsa-miR-138-5p,0.946991177181789,-0.182600427250144,3.34648087409139e-05,0.000396340178229078
SNX2,hsa-miR-130b-3p,0.946479619998317,-0.284149578081219,6.29891879036708e-11,3.11420147628426e-09
PPP6C,hsa-miR-106b-5p,0.94637939081144,-0.314972698824674,3.29426154390869e-13,2.28911208611147e-11
SKI,hsa-miR-21-5p,0.946143535628305,-0.27728638362349,1.86564740767705e-10,8.38216431084231e-09
OTUD4,hsa-miR-130b-3p,0.94609669471197,-0.14981211781228,0.000688531044477848,0.00495401819611151
AKAP1,hsa-miR-130b-3p,0.945934053550932,-0.191298219394385,1.36288928339821e-05,0.000183778700164183
KLF12,hsa-miR-200a-3p,0.945852979125165,-0.143938572312082,0.00111567937647321,0.00737649661615117
BCL2L2,hsa-miR-16-5p,0.944611844385899,-0.166549118091682,0.000157838574765507,0.00146725423106381
ZBTB18,hsa-miR-199a-3p,0.944584505640474,-0.178468374104927,5.0548186865692e-05,0.000561969002692161
KAT2B,hsa-miR-106b-5p,0.94353111243474,-0.165044672056322,0.000181263336142466,0.00164608893488368
APBB2,hsa-miR-106b-5p,0.943497679492196,-0.177803974035622,5.39678067298754e-05,0.000593678608242173
DLL1,hsa-miR-130b-3p,0.943329873144344,-0.124375911252952,0.00491059347034256,0.0243933607347638
KLHL20,hsa-miR-30b-5p,0.943241322350086,-0.227385634450791,2.09576026695157e-07,4.802199215185e-06
SEC23A,hsa-miR-30b-5p,0.942901441530559,-0.16038607473976,0.000276143412114778,0.00232778478731938
BMPR2,hsa-miR-106b-5p,0.942072854097022,-0.222327612532498,3.93321449916236e-07,8.3741838264498e-06
RALBP1,hsa-miR-130b-3p,0.94189494650086,-0.182623337878883,3.33875146063316e-05,0.000395596969123671
HBP1,hsa-miR-106b-5p,0.941011806549237,-0.160323360499932,0.000277691304646448,0.00233883996819019
ZNF148,hsa-miR-106b-5p,0.939824406303369,-0.140506113839596,0.00146725564107179,0.00922805596752688
GALNT1,hsa-miR-30b-5p,0.939812519170404,-0.185039730822261,2.61200447412477e-05,0.00031961441905466
TSG101,hsa-miR-106b-5p,0.939800085141514,-0.231220786799921,1.28752941750779e-07,3.10726050464323e-06
TSHZ3,hsa-miR-200a-3p,0.939600295193723,-0.248773473785011,1.24046525715719e-08,3.81421159517748e-07
DDX6,hsa-miR-130b-3p,0.939074190359918,-0.152103799900423,0.000567618490355765,0.00421791237937269
VGLL4,hsa-miR-130b-3p,0.938936813597305,-0.163874815217174,0.000201690054394789,0.0018005995848004
TOB1,hsa-miR-25-3p,0.93873064861098,-0.121209831223282,0.00613087682946599,0.0290608422193157
NOTCH1,hsa-miR-34a-5p,0.938533290651325,-0.178028021221519,5.27909438837428e-05,0.000582380873027283
KDSR,hsa-miR-153-3p,0.937570363093289,-0.112744343179887,0.0108340338853667,0.0455927720371969
TMCC1,hsa-miR-30b-5p,0.937304434308825,-0.200908096176599,4.8144037869256e-06,7.54455344593418e-05
CFL2,hsa-miR-106b-5p,0.937165798225238,-0.161396899591824,0.000252280646343668,0.0021614577886643
MAP2K4,hsa-miR-141-3p,0.936816791160156,-0.170027045405415,0.000114104107119235,0.0011148945612374
MAP3K5,hsa-miR-106b-5p,0.936628141155998,-0.123421155346939,0.00525322803172314,0.0257428518398653
AKTIP,hsa-miR-106b-5p,0.936297532361233,-0.1617343789307,0.000244752926581127,0.00210741604405009
DLL1,hsa-miR-34a-5p,0.93628427569562,-0.206504069512755,2.56543522477471e-06,4.39008539533785e-05
FBXO28,hsa-miR-130b-3p,0.935744240836922,-0.149732026669283,0.000693159809481416,0.00497942065937079
BMPR2,hsa-miR-130b-3p,0.935238737442079,-0.204259748311085,3.30912515882164e-06,5.46256646742496e-05
LIMA1,hsa-miR-106b-5p,0.935224524239007,-0.214448528118755,1.01851866687653e-06,1.93832046680956e-05
NBEA,hsa-miR-106b-5p,0.934759791701647,-0.143724034880919,0.00113514463075541,0.00748087260353333
EIF4G2,hsa-miR-106b-5p,0.934757903163163,-0.25148895761018,8.49719447981229e-09,2.72355731635998e-07
EMSY,hsa-miR-106b-5p,0.934290180708781,-0.162584280894924,0.000226715617133071,0.00198031305387594
PRRG1,hsa-miR-106b-5p,0.933968965924311,-0.237166738519896,5.94790388577013e-08,1.55661136373673e-06
ZMYND11,hsa-miR-138-5p,0.933911578278694,-0.126579189225987,0.00419557124447089,0.021514239276228
NR3C1,hsa-miR-204-5p,0.933852511549691,-0.114244155455422,0.00981941263725183,0.0422343416743269
ARHGAP12,hsa-miR-130b-3p,0.933818117655386,-0.122957426878837,0.00542729314963891,0.0264221181978081
PKIA,hsa-miR-106b-5p,0.933139994513377,-0.114727597653681,0.00951085190168656,0.041183918911171
PELI1,hsa-miR-21-5p,0.93299462876052,-0.111196657778856,0.0119774056722878,0.0493006122803208
FNDC3A,hsa-miR-106b-5p,0.932771235692669,-0.133644035516685,0.00249226660252332,0.0141391724703291
KPNA3,hsa-miR-200a-3p,0.932763191816907,-0.215411232394985,9.08452535765168e-07,1.75681514193876e-05
FMR1,hsa-miR-130b-3p,0.93272120822956,-0.121896996214877,0.00584499653350377,0.0280083153279675
CLCN5,hsa-miR-130b-3p,0.932252172356269,-0.267146976117662,8.78894595322935e-10,3.46698175354423e-08
MEX3B,hsa-miR-30b-5p,0.932138689426422,-0.137828452424055,0.00180931289993888,0.0109156628677468
NCOA3,hsa-miR-106b-5p,0.931766412434066,-0.128830370080696,0.0035635659887808,0.018863653440052
MAPRE1,hsa-miR-106b-5p,0.931583056838484,-0.163364173924108,0.000211265806370326,0.00186835455262572
RRAGD,hsa-miR-106b-5p,0.931093223287252,-0.140419910710979,0.00147727091584526,0.00927984862066373
RNF38,hsa-miR-130b-3p,0.930616032547575,-0.324266588057055,5.96528414946171e-14,4.53620049319444e-12
ZFYVE9,hsa-miR-130b-3p,0.930504831541906,-0.231774419253424,1.19924234738006e-07,2.91162770542622e-06
GNAI2,hsa-miR-30b-5p,0.930183803443711,-0.315521547722356,2.98294054195222e-13,2.08744452665052e-11
NFIB,hsa-miR-21-5p,0.930177999887121,-0.373090150925199,2.73853041238956e-18,3.31480981552177e-16
ACVR1,hsa-miR-30b-5p,0.930031681041217,-0.186422964851982,2.266360678434e-05,0.000283765776442102
TCF12,hsa-miR-204-5p,0.929567811277192,-0.155494742472138,0.000424428962751279,0.00332198164918857
RARB,hsa-miR-16-5p,0.929388294261129,-0.133235613637271,0.00257019037642435,0.0144920968123605
DUSP1,hsa-miR-200b-3p,0.929292130219995,-0.220468498468384,4.93896495868088e-07,1.02782231568892e-05
ITGB8,hsa-miR-199a-3p,0.928958115629289,-0.159109609761247,0.000309292825610209,0.00255555252067211
PKD2,hsa-miR-106b-5p,0.928910064128128,-0.223185028771842,3.53875776025303e-07,7.64048694355583e-06
NPTN,hsa-miR-130b-3p,0.928810927204228,-0.173232529256044,8.41331494839843e-05,0.000864024260149887
WDR37,hsa-miR-106b-5p,0.928725755607881,-0.113991110091538,0.00998444060424533,0.0428020350485648
SPEN,hsa-miR-30b-5p,0.928524955786268,-0.119184820684305,0.00704777380085231,0.0324639234484253
SATB1,hsa-miR-21-5p,0.928031141866087,-0.231860231582608,1.18609172473632e-07,2.88549361284053e-06
SEC23A,hsa-miR-200b-3p,0.92756446068132,-0.262326050584385,1.79576275661834e-09,6.6263584825261e-08
ZNFX1,hsa-miR-106b-5p,0.927354833193161,-0.184671262075606,2.71218388994456e-05,0.000330091070949544
PPP3R1,hsa-miR-30b-5p,0.927251505535869,-0.257487168171985,3.62650308878687e-09,1.25478159973167e-07
SIPA1L2,hsa-miR-16-5p,0.927187249299635,-0.121557269812499,0.00598479981834793,0.0285243093640343
PAPOLA,hsa-miR-106b-5p,0.927142174038646,-0.168914149610244,0.000126675627556648,0.00121879650216262
RECK,hsa-miR-16-5p,0.926688155506762,-0.143347236955013,0.0011700913627909,0.0076670682191955
RLF,hsa-miR-142-3p,0.926321655410841,-0.142666600141665,0.00123574172689761,0.00800994420047323
LRRC8D,hsa-miR-30b-5p,0.925997009180241,-0.189840425733788,1.5888888137134e-05,0.000209753370048119
PRDM1,hsa-miR-30b-5p,0.925868936870061,-0.117031972874317,0.00815544727750254,0.0364624455336403
HBP1,hsa-miR-130b-3p,0.925643389107805,-0.281035542912547,1.03475572886128e-10,4.90845897572916e-09
CNOT7,hsa-miR-130b-3p,0.925550902948939,-0.140789590388633,0.00143475896608556,0.00905402465619919
CAMSAP2,hsa-miR-200a-3p,0.924550309621902,-0.141685291502465,0.00133637683543371,0.00853989031384652
NDEL1,hsa-miR-30b-5p,0.924499093601267,-0.114322654763408,0.00976871277492228,0.042062827902085
CDC37L1,hsa-miR-106b-5p,0.924401623461121,-0.163257799359915,0.000213313434228091,0.00188350708258945
PLCB1,hsa-miR-130b-3p,0.924103071320557,-0.184823135844483,2.67045890760808e-05,0.000325559038100041
CNOT6,hsa-miR-130b-3p,0.923950182902172,-0.158418810310312,0.000328746699986218,0.00268852836307683
ADCY1,hsa-miR-130b-3p,0.923923813031978,-0.14588992180138,0.000952243277972499,0.00648605464586952
UBE2J1,hsa-miR-30b-5p,0.923889575094951,-0.207658822930714,2.2480352799268e-06,3.90492839035962e-05
CLCN5,hsa-miR-153-3p,0.923351098632921,-0.1133635001396,0.0104044239170571,0.0441975150100836
ST8SIA4,hsa-miR-30b-5p,0.923299029551106,-0.12214778379438,0.00574368380596761,0.027620141605806
YWHAG,hsa-miR-200a-3p,0.923298255718826,-0.18253958385125,3.36709010358174e-05,0.000398304175335969
LGR4,hsa-miR-34a-5p,0.92313413253282,-0.156987407269047,0.000372744875577235,0.00298004201532316
INPP5A,hsa-miR-142-3p,0.922943948851248,-0.315684504637765,2.89618830296295e-13,2.02934590310253e-11
FEZ2,hsa-miR-200b-3p,0.922543228301475,-0.162786985457173,0.000222601359882543,0.00195173916523234
ACSL4,hsa-miR-106b-5p,0.922502049168045,-0.135310262867552,0.00219619112658922,0.0127485930872285
ZFYVE26,hsa-miR-106b-5p,0.922330750688091,-0.166125356827047,0.000164131923638894,0.00151721638862922
ATXN1,hsa-miR-141-3p,0.922194225055456,-0.112591218991036,0.0109426762898988,0.0459628729113449
PTCH1,hsa-miR-16-5p,0.921930277324759,-0.207984885964253,2.16545159932119e-06,3.78113145274283e-05
